coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
CDXC-1,connection_material,Connection Material,Copper,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,connection_type,Connection Type,Sweat,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,return_connection_size,Return Connection Size,Calculate,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,casing_style,Casing Style,Standard,,Cooling DX,Coil Style,Standard,,direct,pdf,exact_match,
CDXC-1,casing_material,Casing Material,Galvanized Steel,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,connection_ends,Connection Ends,Same End Only,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,coil_coating,Coil Coating,Plain,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,system_type,System Type,Single-Circuit,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,drain_pan_type,Drain Pan Type,None,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,drain_pan_material,Drain Pan Material,SST,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,airflow,Total Air Flow(CFM),2000,CFM,Cooling DX,Airflow (CFM),2000,CFM,direct,pdf,exact_match,
CDXC-1,airflow_input_mode,Airflow Mode,Actual,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,airflow_per_coil,Air Flow Per Coil(CFM),2000,CFM,Cooling DX,Airflow (CFM),2000,CFM,same_as_total_for_qty_1,pdf_normalized,normalized_match,
CDXC-1,face_velocity,Face Velocity(FPM),443.08,FPM,Cooling DX,Air Vel (FPM),443.08,FPM,direct,pdf,exact_match,
CDXC-1,altitude,Altitude(FT),49,ft,Unit Details,Altitude (ft),49,ft,direct,pdf,exact_match,
CDXC-1,entering_db_f,Entering Dry Bulb(F),82.7,degF,Cooling DX,DB (F),82.7,degF,direct,pdf,exact_match,
CDXC-1,entering_wb_f,Entering Wet Bulb(F),69.4,degF,Cooling DX,WB (F),69.4,degF,direct,pdf,exact_match,
CDXC-1,entering_relative_humidity_percent,Entering Relative Humidity(%),51.7,,,,"",,calculated_from_db_wb_altitude,calculated,calculated,Direct Coil screenshot shows calculated RH.
CDXC-1,leaving_db_f,Leaving Dry Bulb(F),55.0,degF,Cooling DX,Operating Setpoint DB (F),55,degF,direct,pdf,exact_match,
CDXC-1,total_capacity_mbh_per_coil,Total Capacity(MBH)(Per Coil),0,MBH,Cooling DX,Nominal Cooling Capacity (MBH),168.4,MBH,not_mapped_in_screenshot,review_required,needs_review,PDF has nominal/max capacity but Direct Coil screenshot shows 0.
CDXC-1,refrigerant,Refrigerant,R32,,Cooling DX,Refrigerant,R-32,,normalize_refrigerant_dash,pdf_normalized,normalized_match,
CDXC-1,evaporating_temperature_f,Evaporating Temperature(F),43,degF,Cooling DX,Refrig. Suction Temp (F),43,degF,map_suction_temp_to_evap_temp,pdf_normalized,needs_review,Confirm Direct Coil evaporating temperature source.
CDXC-1,liquid_temperature_f,Liquid Temperature(F),77,degF,Cooling DX,Refrig. Liquid Temp (F),77,degF,direct,pdf,exact_match,
CDXC-1,superheat_f,Superheat(F),9,degF,Cooling DX,Refrig. Superheat Temp (F),9,degF,direct,pdf,exact_match,
CDXC-1,dx_dist_capillary_size,DXDistCapillarySize,1/4 x 0.025,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
CDXC-1,air_side_fouling_factor,Air Side Fouling Factor,0,,,,"",,engineer_default,engineer_default,engineer_default,Visible standard value in Direct Coil screenshot.
