coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
RHHGRC-1,connection_material,Connection Material,Copper,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,connection_type,Connection Type,Sweat,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,supply_connection_size,Supply Connection Size,Calculate,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,return_connection_size,Return Connection Size,Calculate,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,casing_material,Casing Material,Galvanized Steel,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,casing_style,Casing Style,Standard,,Reheat Hot Gas Reheat Coil,Coil Style,Standard,,direct,pdf,exact_match,
RHHGRC-1,connection_ends,Connection Ends,Same End Only,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,coil_coating,Coil Coating,Plain,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,system_type,System Type,Single-Circuit,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,airflow,Total Air Flow(CFM),2000,CFM,Reheat Hot Gas Reheat Coil,Airflow (CFM),2000,CFM,direct,pdf,exact_match,
RHHGRC-1,airflow_input_mode,Airflow Mode,Actual,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,airflow_per_coil,Air Flow Per Coil(CFM),2000,CFM,Reheat Hot Gas Reheat Coil,Airflow (CFM),2000,CFM,same_as_total_for_qty_1,pdf_normalized,normalized_match,
RHHGRC-1,face_velocity,Face Velocity(FPM),443.08,FPM,Reheat Hot Gas Reheat Coil,Air Vel (FPM),443.08,FPM,direct,pdf,exact_match,
RHHGRC-1,altitude,Altitude(FT),49,ft,Unit Details,Altitude (ft),49,ft,direct,pdf,exact_match,
RHHGRC-1,entering_db_f,Entering Dry Bulb(F),55,degF,Reheat Hot Gas Reheat Coil,DB (F),55,degF,direct,pdf,exact_match,
RHHGRC-1,leaving_db_f,Leaving Dry Bulb(F),90,degF,,,,,direct_coil_visible_no_pdf_source,review_required,needs_review,PDF setpoint DB is 72 and max DB is 74.8, while Direct Coil screenshot shows 90.
RHHGRC-1,total_capacity_mbh_per_coil,Total Capacity(MBH)(Per Coil),0,MBH,Reheat Hot Gas Reheat Coil,Max Capacity (MBH),44.0,MBH,not_mapped_in_screenshot,review_required,needs_review,PDF has max capacity but Direct Coil screenshot shows 0.
RHHGRC-1,refrigerant,Refrigerant,R32,,Reheat Hot Gas Reheat Coil,Refrigerant,R-32,,normalize_refrigerant_dash,pdf_normalized,normalized_match,
RHHGRC-1,temperature_input,Temperature Input,Vapor Temperature,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,saturated_suction_temperature_f,Saturated Suction Temperature(F),45,degF,,,,,direct_coil_visible_no_pdf_source,review_required,needs_review,Value is visible in Direct Coil screenshot but not in shown HGRH PDF section.
RHHGRC-1,suction_temperature_at_compressor_f,Suction Temperature at Compressor(F),68,degF,,,,,direct_coil_visible_no_pdf_source,review_required,needs_review,Value is visible in Direct Coil screenshot but not in shown HGRH PDF section.
RHHGRC-1,vapor_temperature_f,Vapor Temperature(F),140,degF,,,,,direct_coil_visible_no_pdf_source,review_required,needs_review,Value is visible in Direct Coil screenshot but not in shown HGRH PDF section.
RHHGRC-1,condensing_temperature_f,Condensing Temperature(F),115,degF,Reheat Hot Gas Reheat Coil,Refrig. Cond. Temp (F),115,degF,direct,pdf,exact_match,
RHHGRC-1,subcooling_f,Subcooling(F),18,degF,Reheat Hot Gas Reheat Coil,Refrig. Subcooling Temp (F),18,degF,direct,pdf,exact_match,
RHHGRC-1,air_side_fouling_factor,Air Side Fouling Factor,0,,,,"",,engineer_default,engineer_default,engineer_default,Visible standard value in Direct Coil screenshot.
